problem                                 |round                              |level   |solved
TreePuzzle                              |TCO14 Round 2A                     |3       |False
Unique                                  |TCO14 Round 1C                     |1       |False
FizzBuzzTurbo                           |TCO14 Round 1C                     |2       |False
RedPaint                                |TCO14 Round 1C                     |3       |False
SpamChecker                             |TCO14 Round 1B                     |1       |False
WolvesAndSheep                          |TCO14 Round 1B                     |2       |False
EagleInZoo                              |TCO14 Round 1B                     |3       |False
EllysSortingTrimmer                     |TCO14 Round 1A                     |1       |False
EllysScrabble                           |TCO14 Round 1A                     |2       |False
EllysLamps                              |TCO14 Round 1A                     |3       |False
FixedDiceGameDiv1                       |SRM 626                            |1       |False
NegativeGraphDiv1                       |SRM 626                            |2       |False
ReflectiveRectangle                     |SRM 626                            |3       |False
PalindromePermutations                  |SRM 625                            |1       |False
BlockTheBlockPuzzle                     |SRM 625                            |2       |False
Seatfriends                             |SRM 625                            |3       |False
BuildingHeights                         |SRM 624                            |1       |False
DrivingPlans                            |SRM 624                            |2       |False
TreeColoring                            |SRM 624                            |3       |False
UniformBoard                            |SRM 623                            |1       |False
CatchTheBeat                            |SRM 623                            |2       |False
AliceAndFriends                         |SRM 623                            |3       |False
BuildingRoutes                          |SRM 622                            |1       |False
Ethernet                                |SRM 622                            |2       |False
FibonacciXor                            |SRM 622                            |3       |False
RadioRange                              |SRM 621                            |1       |False
TreesAnalysis                           |SRM 621                            |2       |False
StringsNightmareAgain                   |SRM 621                            |3       |False
PairGame                                |SRM 620                            |1       |False
CandidatesSelection                     |SRM 620                            |2       |False
PerfectSquare                           |SRM 620                            |3       |False
SplitStoneGame                          |SRM 619                            |1       |False
GoodCompanyDivOne                       |SRM 619                            |2       |False
SimilarSequencesAnother                 |SRM 619                            |3       |False
Family                                  |SRM 618                            |1       |False
LongWordsDiv1                           |SRM 618                            |2       |False
MovingRooksDiv1                         |SRM 618                            |3       |False
WakingUp                                |SRM 616                            |1       |False
ColorfulCoins                           |SRM 616                            |2       |False
ThreeLLogo                              |SRM 616                            |3       |False
AmebaDiv1                               |SRM 615                            |1       |False
LongLongTripDiv1                        |SRM 615                            |2       |False
AlternativePiles                        |SRM 615                            |3       |False
MinimumSquare                           |SRM 614                            |1       |False
CycleColoring                           |SRM 614                            |2       |False
TorusSailing                            |SRM 614                            |3       |False
TaroFriends                             |SRM 613                            |1       |False
RandomGCD                               |SRM 613                            |2       |False
TaroCheckers                            |SRM 613                            |3       |False
EmoticonsDiv1                           |SRM 612                            |1       |False
SpecialCells                            |SRM 612                            |2       |False
LeftAndRightHandedDiv1                  |SRM 612                            |3       |False
LCMSet                                  |SRM 611                            |1       |False
Egalitarianism2                         |SRM 611                            |2       |False
ElephantDrinking                        |SRM 611                            |3       |False
TheMatrix                               |SRM 610                            |1       |False
AlbertoTheAviator                       |SRM 610                            |2       |False
MiningGoldHard                          |SRM 610                            |3       |False
MagicalStringDiv1                       |SRM 609                            |1       |False
PackingBallsDiv1                        |SRM 609                            |2       |False
LotteryTree                             |SRM 609                            |3       |False
MysticAndCandies                        |SRM 608                            |1       |False
BigO                                    |SRM 608                            |2       |False
OneDimensionalRobot                     |SRM 608                            |3       |False
PalindromicSubstringsDiv1               |SRM 607                            |1       |False
CombinationLockDiv1                     |SRM 607                            |2       |False
PulleyTautLine                          |SRM 607                            |3       |False
EllysNumberGuessing                     |SRM 606                            |1       |False
EllysPairing                            |SRM 606                            |2       |False
Subcube                                 |SRM 606                            |3       |False
AlienAndHamburgers                      |SRM 605                            |1       |False
AlienAndSetDiv1                         |SRM 605                            |2       |False
AlienAndPermutation                     |SRM 605                            |3       |False
PowerOfThree                            |SRM 604                            |1       |False
FoxConnection                           |SRM 604                            |2       |False
FamilyCrest                             |SRM 604                            |3       |False
MaxMinTreeGame                          |SRM 603                            |1       |False
PairsOfStrings                          |SRM 603                            |2       |False
SumOfArrays                             |SRM 603                            |3       |False
TypoCoderDiv1                           |SRM 602                            |1       |False
PilingRectsDiv1                         |SRM 602                            |2       |False
BlackBoxDiv1                            |SRM 602                            |3       |False
ScoringSystems                          |TCO13 Championship Round           |1       |False
PackingSquares                          |TCO13 Championship Round           |2       |False
TBlocks                                 |TCO13 Championship Round           |3       |False
TheFourSquares                          |TCO13 Wildcard Round               |1       |False
ModuloCounters                          |TCO13 Wildcard Round               |2       |False
SemiMultiple                            |TCO13 Wildcard Round               |3       |False
GoodNumbers                             |TCO13 Semifinal 2                  |1       |False
JumpingOnTheGrid                        |TCO13 Semifinal 2                  |2       |False
OneBlack                                |TCO13 Semifinal 2                  |3       |False
RabbitsAndCakes                         |TCO13 Semifinal 1                  |1       |False
TheGameDAG                              |TCO13 Semifinal 1                  |2       |False
GameWithTree                            |TCO13 Semifinal 1                  |3       |False
WinterAndPresents                       |SRM 601                            |1       |False
WinterAndSnowmen                        |SRM 601                            |2       |False
WinterAndShopping                       |SRM 601                            |3       |False
ORSolitaire                             |SRM 600                            |1       |False
PalindromeMatrix                        |SRM 600                            |2       |False
LotsOfLines                             |SRM 600                            |3       |False
BigFatInteger                           |SRM 599                            |1       |False
FindPolygons                            |SRM 599                            |2       |False
SimilarNames                            |SRM 599                            |3       |False
BinPacking                              |SRM 598                            |1       |False
FoxAndFencing                           |SRM 598                            |2       |False
TPS                                     |SRM 598                            |3       |False
LittleElephantAndString                 |SRM 597                            |1       |False
ConvexPolygonGame                       |SRM 597                            |2       |False
LittleElephantAndBoard                  |SRM 597                            |3       |False
IncrementAndDoubling                    |SRM 596                            |1       |True 
BitwiseAnd                              |SRM 596                            |2       |False
SparseFactorial                         |SRM 596                            |3       |False
LittleElephantAndIntervalsDiv1          |SRM 595                            |1       |False
LittleElephantAndRGB                    |SRM 595                            |2       |False
Constellation                           |SRM 595                            |3       |False
AstronomicalRecords                     |SRM 594                            |1       |False
FoxAndGo3                               |SRM 594                            |2       |False
FoxAndAvatar                            |SRM 594                            |3       |False
HexagonalBoard                          |SRM 593                            |1       |True 
MayTheBestPetWin                        |SRM 593                            |2       |True 
WolfDelaymasterHard                     |SRM 593                            |3       |False
LittleElephantAndBalls                  |SRM 592                            |1       |False
LittleElephantAndPermutationDiv1        |SRM 592                            |2       |False
SplittingFoxes2                         |SRM 592                            |3       |False
TheTree                                 |SRM 591                            |1       |False
PyramidSequences                        |SRM 591                            |2       |False
